"Frecuencia,""Transaccionalidad"",""Ingresos"""
17,2139.23,861.63
4,136.97,700
17,1838.84,807.63
31,2711.73,1234.42
7,966.34,434
15,2017.39,937
2,464.84,0
2,362.21,388.46
20,5432.28,1896.67
25,2264.89,600
1,0.02,0
2,6.22,857.53
2,1.31,1393.96
2,19.71,150
27,4701.15,833.77
1,0.03,1900
12,2789.05,540.84
9,1589.25,807.63
25,1715.47,833.77
3,367.14,986.03
11,1845.49,0
2,173.34,4167.5
1,0.02,765
18,815.42,441.56
1,0.03,4093.33
12,1754.05,849.16
2,19.71,1650
26,4546.25,937.59
23,2018.83,831.77
15,3767.21,819.16
2,0.04,717.07
56,3970.62,849.15
31,3681.07,3700
10,1779.29,860.69
37,1395.56,692.25
19,2288.78,1022.18
11,2006.15,986.03
10,1585.56,505.89
32,1798.81,807.63
44,1883.5,833
26,3407.93,2070
6,487.05,1220
4,195.72,877.6
35,18119.32,849.15
5,297.81,158
2,169.08,5000
4,204.67,950
46,2587.83,953.51
12,1212.75,158
8,1311.27,697.72
8,1093.89,870.69
8,1247.97,819.16
7,299.24,150
6,461.91,0
2,1000.84,835
1,0.02,260
4,43.11,1511
1,0.02,1430
6,7468.56,467.3
7,476.85,1513
3,1665.08,0
13,2180.05,1822.43
19,1977.14,986.03
3,2649.32,1009
1,0.02,0
8,236.98,158
5,219.71,807.63
5,1756.14,800
16,2108.7,650.55
16,1760.7,807.63
9,1368.36,770.91
35,2366.19,1022.18
6,497.57,1309.31
23,2602.62,1010.06
1,0.26,1154
1,0.02,1054
2,19.71,1600
34,21631.86,819.16
5,2249.53,2115.21
23,34.09,2800
32,14135.05,1174.53
25,2290.13,1254.62
4,237.15,725
8,330.86,1844.53
19,1557.91,720.6
19,1459.89,819.16
1,0.03,1350
18,2054.72,833.77
12,1542.72,789.61
2,19.71,0
6,637.43,1190.37
1,0.02,2600
36,2230.74,607.94
1,0.02,1180
12,2004.96,850
2,19.73,940
20,3895.44,849.15
13,17070.92,1122.44
11,1908.41,969.12
22,2011.93,1241
30,2850.45,1022.18
17,2317.76,1200
24,8438.68,0
8,402.82,158
25,2141.52,874.53
16,1619.52,819.16
8,5182.09,120
1,0.02,610
1,0.02,1364
35,5600.31,150
8,1213.62,867.72
14,1030.24,900
8,545.13,550.84
26,2764.65,672.54
21,2332.13,10815.3
14,1890.24,860.69
7,106.67,3240
7,11581.55,12344.44
9,710.54,483
61,11272.33,860.34
3,1538.65,5298
16,2365.42,1528.24
26,517.88,150
6,52447.37,1110.61
13,1362.33,712.34
5,1383.67,1695
1,0.02,0
1,0.01,870.31
28,1871.11,807.63
1,0.11,0
14,1753.06,800
10,546.2,807.63
29,2249.32,920.67
5,808.32,920
27,1766.8,833.77
16,1912.6,150
2,551.6,1360
6,424.47,566
14,1591.2,819.16
19,1287.9,729.41
32,1965.02,885.71
4,424.56,2000
2,101.55,340
38,5243.79,0
14,1818.9,2135
11,348.86,158
49,3121.78,1022.18
13,2153.88,1216.58
12,1863.5,888
5,114.77,0
35,2815.97,789.29
5,515.81,670
3,780.3,2500
14,1533.2,632.93
24,2284.97,1212.64
28,1863.32,807.63
1,0.02,3200
1,0.02,160
23,4145.53,1119.12
11,1925.58,1119.12
11,558.25,150
