Cliente_ID,Frecuencia,Transaccionalidad,Ingresos,Indice_Cliente,Categoria_Indice,Cluster
1225,34.0,3097.4,1473.24,0.5109790268704111,Muy Bajo,0
1226,20.0,2614.96,1130.61,0.14433080941529858,Muy Bajo,0
1227,37.0,950.5,156.78,0.4319987917724141,Muy Bajo,0
1228,8.0,2806.69,0.0,-0.15202375466136267,Muy Bajo,0
1229,14.0,2383.3,1382.4,-0.006183611314421709,Muy Bajo,0
1230,2.0,0.04,544.0,-0.44478643465552936,Muy Bajo,0
1231,12.0,1867.09,819.16,-0.09468639534990196,Muy Bajo,0
1232,4.0,178.99,228.0,-0.39345022234731636,Muy Bajo,0
1233,2.0,69.74,969.0,-0.4321904174923901,Muy Bajo,0
1234,17.0,2157.74,1150.0,0.04728018853304963,Muy Bajo,0
1235,55.0,2886.8,954.51,0.9863368268216512,Muy Bajo,0
1236,10.0,1876.42,955.39,-0.13882167004709506,Muy Bajo,0
1237,9.0,151.12,670.0,-0.2675639638085265,Muy Bajo,0
1238,14.0,1623.62,1003.72,-0.05754171949812412,Muy Bajo,0
1239,17.0,2139.23,861.63,0.04038957374176607,Muy Bajo,0
1240,4.0,136.97,700.0,-0.3863324974762788,Muy Bajo,0
1241,17.0,1838.84,807.63,0.022015794321048936,Muy Bajo,0
1242,31.0,2711.73,1234.42,0.4128286652326522,Muy Bajo,0
1243,7.0,966.34,434.0,-0.2728523197326183,Muy Bajo,0
1244,15.0,2017.39,937.0,-0.012522030659752612,Muy Bajo,0
1245,2.0,464.84,0.0,-0.4290341484300004,Muy Bajo,0
1246,2.0,362.21,388.46,-0.4270912802374246,Muy Bajo,0
1247,20.0,5432.28,1896.67,0.32190062495984195,Muy Bajo,0
1248,25.0,2264.89,600.0,0.23203071078567672,Muy Bajo,0
1249,1.0,0.02,0.0,-0.47948955967569623,Muy Bajo,0
1250,2.0,6.22,857.53,-0.4380969417818941,Muy Bajo,0
1251,2.0,1.31,1393.96,-0.4275424874497897,Muy Bajo,0
1252,2.0,19.71,150.0,-0.4516143071142155,Muy Bajo,0
1253,27.0,4701.15,833.77,0.42434719993099235,Muy Bajo,0
1254,1.0,0.03,1900.0,-0.44110521536364145,Muy Bajo,0
1255,12.0,2789.05,540.84,-0.04726424647719279,Muy Bajo,0
1256,9.0,1589.25,807.63,-0.18204107288679064,Muy Bajo,0
1257,25.0,1715.47,833.77,0.2051425701576708,Muy Bajo,0
1258,3.0,367.14,986.03,-0.3910234391867751,Muy Bajo,0
1259,11.0,1845.49,0.0,-0.13618989872906076,Muy Bajo,0
1260,2.0,173.34,4167.5,-0.3616137696207603,Muy Bajo,0
1261,1.0,0.02,765.0,-0.46403504217166386,Muy Bajo,0
1262,18.0,815.42,441.56,-0.020549694285707184,Muy Bajo,0
1263,1.0,0.03,4093.33,-0.3967955985308057,Muy Bajo,0
1264,12.0,1754.05,849.16,-0.10058406727276677,Muy Bajo,0
1265,2.0,19.71,1650.0,-0.42131133161611284,Muy Bajo,0
1266,26.0,4546.25,937.59,0.3938203373773306,Muy Bajo,0
1267,23.0,2018.83,831.77,0.1751317263659294,Muy Bajo,0
1268,15.0,3767.21,819.16,0.08577287480193457,Muy Bajo,0
1269,2.0,0.04,717.07,-0.44129007734255826,Muy Bajo,0
1270,56.0,3970.62,849.15,1.0702777853496752,Muy Bajo,0
1271,31.0,3681.07,3700.0,0.518409034920025,Muy Bajo,0
1272,10.0,1779.29,860.69,-0.14632315099708118,Muy Bajo,0
1273,37.0,1395.56,692.25,0.4684227767652131,Muy Bajo,0
1274,19.0,2288.78,1022.18,0.09966151885931172,Muy Bajo,0
1275,11.0,2006.15,986.03,-0.10702659916047907,Muy Bajo,0
1276,10.0,1585.56,505.89,-0.1646370275623721,Muy Bajo,0
