Frecuencia,Transaccionalidad,Ingresos,Cluster
37.0,4024.42,1263.36,2
45.0,3681.19,1422.04,2
1.0,0.02,560.0,0
12.0,1418.78,818.61,0
8.0,4371.48,0.0,0
9.0,1159.3,1022.0,0
13.0,2443.9,937.0,0
23.0,11130.34,1930.0,2
5.0,1739.03,1996.0,1
24.0,2069.2,860.0,2
18.0,2082.99,1392.0,2
37.0,1932.0,1039.06,2
1.0,0.02,470.0,0
9.0,4545.45,0.0,0
18.0,2613.96,2186.03,1
8.0,637.99,1370.5,0
23.0,1816.11,701.64,2
4.0,12301.26,507.44,2
5.0,237.95,150.0,0
3.0,190.56,0.0,0
8.0,252.71,158.0,0
6.0,261.88,1687.59,1
2.0,175.5,1057.0,0
10.0,1109.99,2000.0,1
14.0,1666.54,819.16,0
3.0,1.37,2750.0,1
1.0,0.03,0.0,0
7.0,603.6,1400.0,0
8.0,283.61,150.0,0
4.0,221.15,980.0,0
5.0,6261.49,0.0,0
19.0,430.3,158.0,0
4.0,3893.1,557.17,0
2.0,19.71,0.0,0
18.0,2302.21,1239.93,2
28.0,2220.74,1022.18,2
21.0,10970.45,819.0,2
1.0,0.02,2800.0,1
2.0,20.43,4008.0,1
2.0,0.04,2530.0,1
19.0,2153.65,860.69,0
33.0,3400.43,1090.62,2
1.0,3.1,851.52,0
13.0,4904.52,3556.67,1
25.0,2281.88,742.98,2
30.0,3608.99,833.77,2
2.0,1.02,2918.0,1
1.0,0.02,1500.0,1
35.0,12783.45,1055.0,2
20.0,2922.34,713.76,2
3.0,1501.28,723.45,0
1.0,0.02,1600.0,1
5.0,23.47,969.12,0
